Club,GP,G,A,SHT,SOG,FC,FS,OFF,CK,PKG,PKA
LA Galaxy,21,31,27,240,82,279,262,28,89,3,4
Columbus Crew SC,18,27,35,249,90,213,196,33,109,0,0
Seattle Sounders FC,19,25,24,195,82,218,231,31,83,1,1
New England Revolution,20,25,27,221,86,272,268,39,122,1,1
Sporting Kansas City,16,25,29,203,62,198,183,26,75,3,4
FC Dallas,18,24,22,181,66,216,226,33,79,0,0
D.C. United,21,23,23,220,76,273,248,57,96,2,3
New York Red Bulls,17,23,22,244,85,222,248,60,104,2,4
Orlando City SC,18,23,14,223,72,251,264,42,101,4,5
Vancouver Whitecaps FC,19,23,19,259,91,264,244,37,92,2,2
Philadelphia Union,19,22,20,209,78,207,240,48,98,0,1
Toronto FC,16,22,23,219,78,198,206,34,85,2,2
Portland Timbers,19,22,23,270,92,222,276,43,114,1,2
Houston Dynamo,18,22,18,216,56,223,222,28,98,0,2
New York City FC,18,20,19,225,83,247,218,30,83,2,2
Montreal Impact,15,20,9,195,72,188,168,31,86,3,4
San Jose Earthquakes,17,19,14,195,60,228,220,26,99,3,3
Chicago Fire,16,18,14,233,77,211,219,54,93,3,4
Real Salt Lake,19,18,19,204,70,252,265,46,82,1,1
Colorado Rapids,18,14,17,236,72,256,234,44,101,0,1
